MSN,Circle,Division,Subdivision,Section,FeederName,Lat,Long,plotLat,plotLong,Forecast_MWh,Forecast_MU,Actual_MWh,color,rank
X0857431,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222414-11 KV ELDAMS ROAD,13.047,80.249,13.046725,80.249476,6658.0311710000005,6.658031,5609.176,"rgb(220,38,38)",1
19407258,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,11KV WESTEN,13.053,80.22,13.053508,80.21979,3261.807969,3.261808,2244.33,"rgb(220,38,38)",2
19408977,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,223801-11 KV  LOCAL,13.047,80.233,13.046725,80.232524,3110.3656340000002,3.110366,2778.946,"rgb(220,38,38)",3
19407588,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,11KV REVATHI,13.053,80.22,13.052611,80.219611,2883.639117,2.883639,2577.483,"rgb(220,38,38)",4
19408690,Chennai  Central,TNagar,THYAGARAJ NAGAR,T.NAGAR EAST,222403-11KV CENTURY PLAZA,13.047,80.249,13.047476,80.248725,2844.259301,2.844259,420.004,"rgb(220,38,38)",5
X1588134,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,11KV TEMPLE,13.053,80.22,13.05279,80.220508,2806.928648,2.806929,2430.585,"rgb(220,38,38)",6
19407591,South I Chennai,KK Nagar,Kodambakkam,Rangarajapuram,11KV SIVAN KOVIL,13.053,80.22,13.05245,80.22,2665.799563,2.6658,2229.42,"rgb(220,38,38)",7
19409846,Chennai  Central,TNagar,SAIDAPET,CIT NAGAR II,223004-11 KV LOTUS COLONY,13.03,80.237,13.030476,80.236725,2616.416023,2.616416,2200.077,"rgb(221,41,37)",8
19408695,Chennai  Central,Mylapore,NUNGAMBAKKAM,NUNGAMBAKKAM,222805-11 KV  MAHALINGAPURAM,13.054,80.25,13.054,80.25055,2581.131227,2.581131,1884.214,"rgb(221,45,36)",9
19408921,Chennai  Central,TNagar,SAIDAPET,CIT NAGAR I,222701-11 KV  KULAKARAI,13.024,80.23,13.024,80.23055,2500.952713,2.500953,2266.851,"rgb(223,54,34)",10
19409048,Chennai  Central,TNagar,SAIDAPET,CIT NAGAR I,222708-11 KV  LEVEL CRASSING,13.024,80.23,13.023868,80.229466,2482.11387,2.482114,2379.225,"rgb(224,56,34)",11
